# debris fragments from Cosmos1408 ASAT test
# simulated by Hugh Lewis
# file received by AL 2021-11-25
# SMA is semi-major axis from centre of Earth
# SMA-km   	ECC	         INC-dg	     RAAN-dg	AOP-dg	    MA-dg
6839.519708	0.006421	82.616911	123.532471	95.059643	234.901511
6786.330498	0.011677	82.82572	123.404023	152.165169	177.143477
6935.490119	0.011304	83.462557	123.013142	355.671383	334.327183
6847.465087	0.00263	82.57675	123.557192	145.002019	184.380148
6902.134493	0.007213	82.920964	123.345491	11.443941	318.49646
6798.638774	0.01835	81.244312	124.380575	91.729455	239.297908
6938.57415	0.011987	82.574235	123.558746	357.403873	332.600785
6853.671313	0.001722	82.774089	123.435774	152.939854	176.422837
6850.108403	0.002953	83.178144	123.187557	189.260758	139.927172
6745.222133	0.021534	82.153383	123.818113	182.045777	145.920299
6865.749626	0.001573	82.535834	123.582384	57.046388	272.490685
6847.0196	0.002692	82.674017	123.49733	151.210609	178.146243
7059.687422	0.028344	82.292773	123.732159	314.216616	14.300137
6786.75399	0.014936	82.932957	123.338113	187.193037	141.131584
6998.181556	0.020691	82.784334	123.429484	304.543245	23.858078
6837.355841	0.009029	82.401622	123.665051	86.09411	244.177216
6937.296936	0.016149	82.818332	123.408576	19.449944	311.341147
6956.255759	0.013137	82.353969	123.694427	335.231687	354.268302
6878.780735	0.002281	82.578059	123.556389	0.481265	329.014683
6765.59178	0.015739	83.432392	123.031619	128.591926	201.475048
6725.593743	0.021068	82.83378	123.399064	157.842528	171.168454
6909.162348	0.015493	82.818682	123.408358	261.903367	65.845301
6959.01204	0.017427	82.778032	123.433357	288.447796	39.637571
6854.682411	0.001921	82.627758	123.525796	113.407643	216.085418
6985.143769	0.037846	85.084414	122.022692	33.799208	299.590801
6859.08474	0.009764	82.85706	123.384762	64.620463	265.876202
6994.866189	0.02307	83.247533	123.144989	6.143739	324.833505
6805.113864	0.009841	82.470043	123.622897	123.065589	206.785335
6847.85366	0.00312	82.613276	123.534708	114.078221	215.490801
6810.927918	0.009872	82.175095	123.804721	184.089924	144.585276
6841.177413	0.003642	82.509387	123.598668	161.729077	167.534353
6800.98799	0.010642	82.782929	123.430334	121.799848	208.141373
6872.468629	0.001069	82.592453	123.547528	345.585067	343.8109
6787.775243	0.011508	82.255632	123.755042	142.322752	187.169213
6864.405966	0.000862	82.580233	123.555049	68.718215	260.73964
7041.465617	0.025094	83.085703	123.244311	333.975779	355.65767
7254.685068	0.055281	82.84709	123.390914	313.826129	13.939883
6839.671012	0.003792	82.48646	123.612788	155.151042	174.156262
6784.982378	0.011855	82.47219	123.621573	148.197288	181.177759
6819.514033	0.009181	82.098979	123.851694	191.033564	137.581044
6966.573931	0.028922	82.573484	123.55921	29.92411	302.296789
7494.264542	0.091085	83.647555	122.899842	303.609085	21.574148
7155.441339	0.040521	82.167502	123.80943	329.466457	359.884302
6889.089568	0.003618	82.755406	123.447267	310.099327	19.139669
6784.824728	0.012706	81.371236	124.301855	169.036222	159.718077
6813.979253	0.009612	82.431179	123.646839	110.689366	219.348193
7410.26913	0.07371	86.32678	121.267956	333.463656	356.683467
6828.639067	0.008467	82.490846	123.610086	198.700132	129.911853
6869.791268	0.002701	82.626606	123.526506	252.008041	77.054448
6879.356225	0.00262	82.786636	123.42806	289.034115	40.149184
6857.166458	0.002796	82.602253	123.541494	212.896329	116.17829
6832.451403	0.007885	82.57994	123.555227	96.698416	233.381193
7203.710589	0.057384	82.50805	123.599514	291.544497	33.928114
6809.996385	0.009613	82.504062	123.601945	116.740308	213.208252
7017.061423	0.028773	81.931241	123.955294	10.990957	320.48116
6869.503976	0.002226	82.66456	123.50315	253.888232	75.232282
6800.443413	0.011873	83.130417	123.216846	184.649119	143.958696
6920.86634	0.008512	82.458856	123.629796	308.570628	20.439058
7133.728221	0.04444	82.911877	123.351088	2.227786	329.857631
6780.881096	0.013302	82.612249	123.535336	128.443664	201.463867
6921.286628	0.008265	82.234247	123.768241	341.278015	348.252161
6845.871565	0.003481	82.108742	123.84567	183.258024	145.83944
6982.889258	0.017316	83.029238	123.278981	314.569075	14.330638
6777.502996	0.016535	82.201725	123.78829	110.818926	219.696977
6858.843745	0.001094	82.581158	123.55448	120.15048	209.270954
6942.312541	0.033113	82.665236	123.502739	256.335481	69.43256
6760.774022	0.016198	82.653366	123.51003	165.500855	163.337299
6851.009519	0.002942	82.563928	123.565086	104.42745	225.169359
6911.001949	0.007048	82.772216	123.43693	349.508162	340.146444
6820.253334	0.007596	84.649388	122.287711	177.836989	151.246617
6777.124062	0.013547	81.20391	124.405644	132.775715	196.90397
7210.640004	0.049171	82.157838	123.815396	342.488767	348.091934
6879.840484	0.003734	82.220362	123.776802	24.667735	305.015609
6790.548932	0.011218	82.195911	123.791878	138.049605	191.528712
6878.692568	0.001954	82.458576	123.629966	318.77038	10.540056
6861.153961	0.002919	82.538098	123.58099	71.113493	258.571002
6973.573002	0.016914	82.551459	123.572771	352.567047	337.55184
6841.697082	0.006419	82.364297	123.688054	91.6078	238.35749
6836.40139	0.00441	82.735347	123.4596	133.020163	196.493597
6772.893704	0.014589	82.689329	123.487904	128.344293	201.625396
7070.466267	0.029352	82.628479	123.525367	337.893834	351.969029
6826.317457	0.014852	82.380361	123.678153	82.056482	248.862386
7019.874379	0.025086	82.517755	123.593527	358.04413	332.676838
6776.441601	0.01651	83.413201	123.043383	185.413643	142.880856
7146.941865	0.039378	82.55311	123.571765	327.945037	1.322556
6975.398464	0.02219	82.273678	123.743927	14.225659	316.889302
